Época,Actor_Loss_Avg,Actor_Loss_Min,Actor_Loss_Max,Critic_Loss_Avg,Critic_Loss_Min,Critic_Loss_Max,Train_Rewards_Avg,Train_Rewards_Min,Train_Rewards_Max
0,-0.862909690772817,-0.9690369870772102,-0.7485029046665261,0.009003630443873718,0.004024177626681811,0.016535231061110805,0.7701652564544524,0.6732972219692899,0.8862868753699528
1,-0.8931066859861215,-1.0269842561483382,-0.7749038906693458,0.013851672475668602,0.008496050290297716,0.020711084752343595,0.7840132828714993,0.674636955697259,0.9161169384185601
2,-0.9263994101921718,-1.0729631429314614,-0.7971349702477455,0.01735774115521926,0.011018075256375597,0.026721415667794644,0.790350712584176,0.6754330171250371,0.9142588232722517
3,-0.9664465657114983,-1.1156291621923446,-0.8246643949151039,0.019611467688918735,0.011546518323244527,0.028769374925643205,0.7929247479847171,0.6862098437027976,0.930552825540438
4,-1.0110708009858926,-1.1655577223300935,-0.8597507653236389,0.02062428377151955,0.012343331028707326,0.030065618252381684,0.794750280628352,0.6731566202879612,0.9273652638359359
5,-1.052971095987161,-1.2106002322435379,-0.8933565804958343,0.021139159436314368,0.012782099470030516,0.03097682051733136,0.7953878339162158,0.6786407670007777,0.9460163516647981
6,-1.0966728635152179,-1.2654920649528503,-0.9345583010911942,0.021193987808842206,0.012564182051457465,0.03168884546216577,0.8012340136024024,0.6781755259755226,0.9452318641703357
7,-1.139971796488762,-1.3134353944063186,-0.9809198262095451,0.02083030374631441,0.011582375083351509,0.029639096333645285,0.8019753325673032,0.667073157966183,0.9573566206690166
8,-1.1825767492612203,-1.3684057101011275,-0.9935618348121643,0.02063066367684708,0.011505528302164749,0.03068773210514337,0.805565614369637,0.6774060292638506,0.9540634747767485
9,-1.2222869358718396,-1.4235390915870667,-1.0035679432153701,0.020614998549626517,0.011561456013470889,0.032479954294860364,0.8042461550659087,0.6710677149335661,0.9553568513849698
10,-1.2652813068449498,-1.4876572822332381,-1.0139816980957985,0.020209950312909983,0.012154991747112945,0.03016717526409775,0.8059317852316653,0.6819145317341376,0.9471069077993709
11,-1.3060096772970822,-1.5528836497068406,-1.0329766829013824,0.01984711407125799,0.012165142711717635,0.03152197084575892,0.809481140901788,0.6739917939432448,0.9580127971252785
12,-1.3556555715088658,-1.6170804569721222,-1.082850031197071,0.019059655539566078,0.010287836314411833,0.028802510936744512,0.8124057114122316,0.6647676055786341,0.9497811014467634
13,-1.3938498410272602,-1.694572111606598,-1.1045853008031845,0.01889283932648599,0.011289854272967205,0.02875158862490207,0.8110855867366829,0.6780323920534986,0.9384387459276436
14,-1.4408729851388933,-1.786519880414009,-1.1246717021465302,0.018543674084264786,0.011299182882066817,0.02864072174485773,0.8140264158273263,0.6824565049251478,0.9472707020946125
15,-1.4960023762464523,-1.882168493270874,-1.1892980914115905,0.018072703203582202,0.010426017459481955,0.028432365104556084,0.8146095838156148,0.6743775638364862,0.945531073403203
16,-1.5528570681288838,-1.9657106404304505,-1.2053742676973342,0.01848648778400093,0.010680921860970556,0.030051540344022215,0.8232431733458163,0.6964615103317994,0.9641498085210921
17,-1.6186601066271462,-2.045942692399025,-1.2254713962078094,0.01914285488623815,0.010753518393961712,0.031960107298567894,0.8296651087034131,0.684700670480755,0.9510480499762495
18,-1.7313936606970701,-2.1248978853225706,-1.4249007867574692,0.018371947728668934,0.010661759071284905,0.02245469066221267,0.8520079903572068,0.6992957349383653,0.9613881396169336
19,-1.8115932919846642,-2.201214181661606,-1.465118735074997,0.019500670366739442,0.014467460526851937,0.025106741078197957,0.851092279786573,0.6945981340860533,0.9420386090846304
20,-1.8984301885962485,-2.04776684987545,-1.7502920242547988,0.01885689645113113,0.01569717314792797,0.02262334710219875,0.8780393695076435,0.8254690188968841,0.9310201064538517
21,-1.97157312665383,-2.1265616450309754,-1.8271516695022583,0.018883713625138625,0.015607091970276087,0.02273633251246065,0.8811141972144597,0.8276679924903532,0.9362326309646866
22,-1.9729888462225595,-2.074271603345871,-1.890778625369072,0.021903776369368036,0.017501948363613337,0.027844362049363552,0.8498766893869264,0.8315604375808024,0.860700817515912
23,-1.9957411274313928,-2.026974748969078,-1.9645075058937074,0.021194007938960566,0.020074028342962263,0.02231398753495887,0.8475674765066745,0.8321697533654223,0.8629651996479266
24,-2.0916378042697907,-2.0916378042697907,-2.0916378042697907,0.02288406754564494,0.02288406754564494,0.02288406754564494,0.8755956192339409,0.8755956192339409,0.8755956192339409
